Product type,SKU,Production Date,Shipping Date,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Shortage Risk,Actual Shipping Time,Delay
haircare,SKU0,2023-10-06,2023-10-08,69.80800554,0.8928388598407007,84,8661.996792,Non-binary,68,7,96,4,Carrier B,2.956572139,Supplier 3,Mumbai,215,29,46.27987924,Pending,0.226410361,Road,Route B,187.7520755,True,2,-5
skincare,SKU1,2025-01-04,2025-01-31,14.84352328,0.8172576887271952,30,7460.900065,Female,24,30,37,2,Carrier A,9.716574771,Supplier 3,Mumbai,517,30,33.61676895,Pending,4.854068026,Road,Route B,503.0655791,True,27,-3
haircare,SKU2,2023-05-26,2023-05-30,11.31968329,0.8640076456537709,93,9577.749626,Unknown,80,10,88,2,Carrier B,8.054479262,Supplier 1,Mumbai,971,27,30.68801935,Pending,4.580592619,Air,Route C,141.9202818,True,4,-6
skincare,SKU3,2024-09-27,2024-10-13,61.16334302,0.8540273308097486,79,7766.836426,Non-binary,71,13,59,6,Carrier C,1.729568564,Supplier 5,Kolkata,937,18,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592,True,16,3
skincare,SKU4,2023-08-19,2023-08-17,4.805496036,0.9502247051366606,75,2686.505152,Non-binary,97,3,56,8,Carrier A,3.890547916,Supplier 1,Delhi,414,3,92.0651606,Fail,3.145579523,Air,Route A,923.4406317,False,-2,-5
haircare,SKU5,2023-06-29,2023-07-23,1.699976014,0.8982142557827157,28,2828.348746,Non-binary,48,27,66,3,Carrier B,4.444098864,Supplier 4,Bangalore,104,17,56.76647556,Fail,2.779193512,Road,Route A,235.4612367,False,24,-3
skincare,SKU6,2024-04-02,2024-04-22,4.078332863,0.8549630837429592,58,7823.47656,Male,84,15,58,8,Carrier C,3.880763303,Supplier 3,Kolkata,314,24,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969,False,20,5
cosmetics,SKU7,2024-12-06,2024-12-25,42.95838438,0.9198345011750132,34,8496.103813,Female,68,17,11,1,Carrier B,2.348338784,Supplier 4,Bangalore,564,1,99.4661086,Fail,0.398177187,Road,Route C,802.0563118,False,19,2
cosmetics,SKU8,2024-12-04,2024-12-10,68.71759675,0.9139801534851272,68,7517.363211,Female,27,10,15,7,Carrier C,3.404733857,Supplier 4,Mumbai,769,8,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342,True,6,-4
skincare,SKU9,2023-10-13,2023-11-13,64.01573294,0.907984017901742,95,4971.145988,Unknown,35,27,83,1,Carrier A,7.166645291,Supplier 2,Chennai,963,23,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615,True,31,4
skincare,SKU10,2024-08-24,2024-09-06,15.70779568,0.8876949808841731,52,2330.965802,Non-binary,60,13,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777,False,13,0
skincare,SKU11,2024-02-06,2024-03-03,90.63545998,0.9153069436257012,79,6099.944116,Female,16,23,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334,True,26,3
haircare,SKU12,2024-10-15,2024-11-11,71.21338908,0.8728446920135378,50,2873.741446,Unknown,98,30,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891,False,27,-3
skincare,SKU13,2023-06-28,2023-07-04,16.16039332,0.9753133180540512,65,4052.738416,Male,62,8,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052,True,6,-2
skincare,SKU14,2024-01-16,2024-02-12,99.17132864,0.857450841356901,35,8653.570926,Non-binary,55,29,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529,False,27,-2
skincare,SKU15,2023-06-27,2023-07-07,36.98924493,0.8706850899895096,92,5442.086785,Non-binary,83,8,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618,True,10,2
